wavenumber,abs,,
10697.55723,0.97885,62.5076,59.29631102
10697.52423,1.01612,61.61312,58.87051894
10697.48723,0.97103,62.69528,59.38526332
10697.45523,0.98589,62.33864,59.21611689
10697.41823,0.99681,62.07656,59.09150954
10697.40023,0.978,62.528,59.30598621
10697.28623,1.02361,61.43336,58.78457706
10697.18923,0.98529,62.35304,59.22295585
10697.15723,0.99933,62.01608,59.06271667
10697.14823,0.99252,62.17952,59.14049374
10697.11623,0.99316,62.16416,59.13318865
10697.07823,0.986,62.336,59.214863
10697.04323,0.98769,62.29544,59.19559528
10697.00723,0.98182,62.43632,59.26249235
10696.99723,1.00284,61.93184,59.0225889
10696.97023,0.98842,62.27792,59.18727059
10696.93123,1.01034,61.75184,58.93675424
10696.89023,0.96278,62.89328,59.47896267
10696.85923,0.99733,62.06408,59.0855693
10696.82123,1.00534,61.87184,58.99399122
10696.78823,1.00566,61.86416,58.99032972
10696.75123,1.01223,61.70648,58.91510418
10696.71723,0.98968,62.24768,59.1728992
10696.68423,0.98239,62.42264,59.2559997
10696.65023,1.01685,61.5956,58.86214828
10696.62223,1.00126,61.96976,59.04065548
10696.61523,0.98388,62.38688,59.2390243
10696.59723,0.96845,62.7572,59.41458154
10696.59023,1.01264,61.69664,58.91040655
10696.35423,0.99577,62.10152,59.10338823
10696.31923,0.97253,62.65928,59.36821119
10696.30623,0.99535,62.1116,59.10818471
10696.27823,1.00354,61.91504,59.01458294
10696.23923,0.98767,62.29592,59.19582333
10696.20323,1.00338,61.91888,59.01641297
10696.16823,0.99354,62.15504,59.12885083
10696.16423,1.0015,61.964,59.03791155
10696.13123,0.99713,62.06888,59.08785408
10696.09623,1.00041,61.99016,59.05037256
10696.05323,0.98584,62.33984,59.21668684
10696.01923,0.9714,62.6864,59.38105759
10695.98323,0.99549,62.10824,59.10658593
10695.94723,0.98146,62.44496,59.26659261
10695.91023,0.99683,62.07608,59.09128108
10695.87323,0.97936,62.49536,59.29050514
10695.83623,0.96863,62.75288,59.41253656
10695.79823,0.98781,62.29256,59.19422691
10695.76123,0.98702,62.31152,59.20323471
10695.72423,0.99715,62.0684,59.08762561
10695.69423,0.99284,62.17184,59.13684131
10695.65923,0.98705,62.3108,59.20289267
10695.50723,1.00491,61.88216,58.99891101
10695.46723,0.97581,62.58056,59.33090679
10695.44023,0.99114,62.21264,59.15624227
10695.43323,0.99988,62.00288,59.05643064
10695.39323,0.97994,62.48144,59.28390169
10695.38123,0.99172,62.19872,59.14962384
10695.36223,0.9805,62.468,59.27752525
10695.31923,1.0014,61.9664,59.03905487
10695.28023,0.99283,62.17208,59.13695545
10695.24723,0.98565,62.3444,59.21885257
10695.21023,0.98675,62.318,59.20631301
10695.17323,0.97606,62.57456,59.3280625
10695.13923,0.97294,62.64944,59.36354942
10695.10323,0.97908,62.50208,59.29369275
10695.06323,0.96606,62.81456,59.44172777
